,AVG1,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,월,선수
48,0.355,4.428571428571429,0.5714285714285714,1.5714285714285714,0.14285714285714285,0.0,0.42857142857142855,1.0,0.2857142857142857,0.0,0.14285714285714285,0.0,0.7142857142857143,0.0,0.355,2018-3-31,로하스
49,0.216,4.041666666666667,0.625,0.875,0.25,0.0,0.25,0.7083333333333334,0.08333333333333333,0.041666666666666664,0.5,0.0,1.2083333333333333,0.125,0.25,2018-4-30,로하스
50,0.347,4.208333333333333,0.75,1.4583333333333333,0.375,0.041666666666666664,0.25,0.7916666666666666,0.041666666666666664,0.125,0.25,0.125,0.9166666666666666,0.125,0.293,2018-5-31,로하스
51,0.239,3.6666666666666665,0.5,0.875,0.20833333333333334,0.0,0.16666666666666666,0.4583333333333333,0.125,0.125,0.5,0.041666666666666664,1.0,0.125,0.278,2018-6-30,로하스
52,0.434,3.9523809523809526,1.1904761904761905,1.7142857142857142,0.19047619047619047,0.0,0.42857142857142855,1.0476190476190477,0.2857142857142857,0.14285714285714285,0.47619047619047616,0.047619047619047616,0.8095238095238095,0.0,0.31,2018-7-31,로하스
53,0.326,3.3076923076923075,1.0769230769230769,1.0769230769230769,0.15384615384615385,0.0,0.38461538461538464,0.8461538461538461,0.23076923076923078,0.07692307692307693,0.9230769230769231,0.07692307692307693,0.7692307692307693,0.07692307692307693,0.312,2018-8-31,로하스
54,0.295,3.8260869565217392,0.9130434782608695,1.1304347826086956,0.043478260869565216,0.0,0.34782608695652173,1.0434782608695652,0.0,0.043478260869565216,0.6521739130434783,0.0,1.173913043478261,0.0,0.309,2018-9-30,로하스
55,0.242,4.125,0.625,1.0,0.25,0.0,0.25,0.375,0.125,0.125,0.375,0.125,1.0,0.0,0.305,2018-10-31,로하스
56,0.2,3.5714285714285716,0.7142857142857143,0.7142857142857143,0.0,0.0,0.2857142857142857,1.0,0.0,0.0,0.14285714285714285,0.2857142857142857,1.5714285714285714,0.0,0.2,2018-3-31,김재환
57,0.286,3.5,0.6818181818181818,1.0,0.22727272727272727,0.0,0.2727272727272727,0.6818181818181818,0.045454545454545456,0.0,0.8181818181818182,0.0,0.7727272727272727,0.09090909090909091,0.265,2018-4-30,김재환
58,0.297,3.9565217391304346,0.6956521739130435,1.173913043478261,0.4782608695652174,0.043478260869565216,0.17391304347826086,0.8260869565217391,0.0,0.0,0.2608695652173913,0.043478260869565216,1.1304347826086956,0.043478260869565216,0.28,2018-5-31,김재환
59,0.43,4.115384615384615,1.0,1.7692307692307692,0.23076923076923078,0.0,0.5384615384615384,1.3846153846153846,0.0,0.0,0.3076923076923077,0.038461538461538464,0.7692307692307693,0.038461538461538464,0.33299999999999996,2018-6-30,김재환
60,0.402,3.9047619047619047,0.7142857142857143,1.5714285714285714,0.3333333333333333,0.0,0.2857142857142857,0.8095238095238095,0.047619047619047616,0.0,0.5238095238095238,0.047619047619047616,0.8571428571428571,0.0,0.348,2018-7-31,김재환
61,0.267,3.75,0.3333333333333333,1.0,0.25,0.0,0.08333333333333333,0.4166666666666667,0.0,0.0,0.3333333333333333,0.08333333333333333,1.1666666666666667,0.0,0.34,2018-8-31,김재환
62,0.383,3.5217391304347827,0.9565217391304348,1.3478260869565217,0.17391304347826086,0.0,0.4782608695652174,1.4782608695652173,0.0,0.0,0.43478260869565216,0.08695652173913043,0.9130434782608695,0.043478260869565216,0.34600000000000003,2018-9-30,김재환
63,0.0,3.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,1.4,0.2,0.33399999999999996,2018-10-31,김재환
64,0.286,4.0,0.7142857142857143,1.1428571428571428,0.14285714285714285,0.14285714285714285,0.0,0.8571428571428571,0.0,0.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.28600000000000003,2018-3-31,최주환
65,0.293,3.727272727272727,0.4090909090909091,1.0909090909090908,0.4090909090909091,0.13636363636363635,0.13636363636363635,1.0454545454545454,0.0,0.0,0.22727272727272727,0.13636363636363635,0.6818181818181818,0.0,0.29100000000000004,2018-4-30,최주환
66,0.344,4.043478260869565,0.8695652173913043,1.391304347826087,0.34782608695652173,0.08695652173913043,0.21739130434782608,0.782608695652174,0.043478260869565216,0.0,0.2608695652173913,0.043478260869565216,0.7391304347826086,0.0,0.315,2018-5-31,최주환
67,0.352,3.7916666666666665,0.75,1.3333333333333333,0.25,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.5,0.0,0.625,0.041666666666666664,0.327,2018-6-30,최주환
68,0.289,3.619047619047619,0.5238095238095238,1.0476190476190477,0.047619047619047616,0.0,0.23809523809523808,0.6190476190476191,0.0,0.0,0.3333333333333333,0.0,0.6190476190476191,0.0,0.319,2018-7-31,최주환
69,0.368,3.1666666666666665,0.4166666666666667,1.1666666666666667,0.3333333333333333,0.0,0.16666666666666666,0.6666666666666666,0.0,0.0,0.8333333333333334,0.16666666666666666,0.5,0.08333333333333333,0.324,2018-8-31,최주환
70,0.364,3.8260869565217392,0.7391304347826086,1.391304347826087,0.43478260869565216,0.0,0.30434782608695654,1.0,0.0,0.0,0.2608695652173913,0.08695652173913043,0.8260869565217391,0.0,0.331,2018-9-30,최주환
71,0.391,3.8333333333333335,0.3333333333333333,1.5,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.33299999999999996,2018-10-31,최주환
